,artist,rank,title,url
0,어쿠스틱 콜라보,1,너무 보고싶어,https://www.youtube.com/embed/xgckI-1zia0
1,핑크퐁,2,상어 가족,https://www.youtube.com/embed/G6skS1G943I
2,NU`EST,3,티격태격,https://www.youtube.com/embed/dPQlzJda9xU
3,앤츠 (Ants),4,싸우지 말자,https://www.youtube.com/embed/Wv3QlRVB6xQ
4,프로젝트 연플리,5,끝이 아니야,https://www.youtube.com/embed/qfS8_xIQm3w
5,박효신,6,추억은 사랑을 닮아,https://www.youtube.com/embed/NBRbP_5OyYg
6,박효신,7,눈의 꽃,https://www.youtube.com/embed/sr3JaQ3h7YA
7,G-DRAGON,8,SUPER STAR,https://www.youtube.com/embed/01qFNY_l1AQ
8,CHEEZE (치즈),9,Madeleine Love,https://www.youtube.com/embed/EHTagN5HJKQ
9,PRODUCE 101,10,Hands on me,https://www.youtube.com/embed/2htUBlFMSQE
10,정은지,11,너란 봄 (Feat. 하림),https://www.youtube.com/embed/PWDISJZr7Yc
11,슬레이트,12,Oh Little Girl,https://www.youtube.com/embed/nuzgvsbmMio
12,NCT DREAM,13,We Young,https://www.youtube.com/embed/h3aP1cxwCyk
13,Red Velvet (레드벨벳),14,빨간 맛 (Red Flavor),https://www.youtube.com/embed/WyiIGEHQP8o
14,Adele,15,Hello,https://www.youtube.com/embed/YQHsXMglC9A
15,EXO,16,전야 (前夜) (The Eve),https://www.youtube.com/embed/4huaN2Ce6U8
16,BLACKPINK,17,붐바야,https://www.youtube.com/embed/bwmSjveL3Lc
17,행주,18,"요즘것들 (Feat. ZICO, DEAN)",https://www.youtube.com/embed/sF8Uk3YyT54
18,우원재,19,"또 (Feat. Tiger JK, Bizzy, 마샬(MRSHLL))",https://www.youtube.com/embed/bd2q2wH2UQg
19,Dok2,20,Beverly 1lls (Remix) (Feat. The Quiett),https://www.youtube.com/embed/9pqhPZcpu18
20,WINNER,21,FOOL,https://www.youtube.com/embed/GsebMOWQiYM
21,샘김 (SAM KIM),22,Who Are You,https://www.youtube.com/embed/J_XCbHgTg5I
22,마마무,23,음오아예 (Um Oh Ah Yeh),https://www.youtube.com/embed/pFuJAIMQjHk
23,BewhY (비와이),24,Forever (Prod. By GRAY),https://www.youtube.com/embed/dj-OEG32OR4
24,세븐틴,25,울고 싶지 않아,https://www.youtube.com/embed/zEkg4GBQumc
25,BLACKPINK,26,마지막처럼,https://www.youtube.com/embed/Amq-qlqbjYA
26,EXO,27,Ko Ko Bop,https://www.youtube.com/embed/IdssuxDdqKk
27,Wanna One (워너원),28,에너제틱 (Energetic),https://www.youtube.com/embed/EVaV7AwqBWg
28,엠씨더맥스,29,행복하지 말아요,https://www.youtube.com/embed/hsfGIT9zTSc
29,오혁,30,소녀,https://www.youtube.com/embed/bLoO0FSXncg
30,DJ Khaled,31,"I`m The One (Feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",https://www.youtube.com/embed/weeI1G46q0o
31,Wanna One (워너원),32,Wanna Be (My Baby),https://www.youtube.com/embed/1LSvgHucVgc
32,MXM (BRANDNEW BOYS),33,GOOD DAY,https://www.youtube.com/embed/o3ZcZTZwbKM
33,이석훈,34,그대를 사랑하는 10가지 이유,https://www.youtube.com/embed/xZujJJnDlDY
34,넉살,35,"부르는게 값이야 (Feat. 개코, 던밀스)",https://www.youtube.com/embed/zCefNdF6qZo
35,행주,36,SEARCH (Feat. 카더가든),https://www.youtube.com/embed/LzSkjiwVaUs
36,어쿠스틱 콜라보,37,"묘해, 너와",https://www.youtube.com/embed/ODgVjzS_PYo
37,지코 (ZICO),38,Artist,https://www.youtube.com/embed/obzb7nlpXZ0
38,Ariana Grande,39,Best Mistake (Feat. Big Sean),https://www.youtube.com/embed/UCZzepkKjD0
39,Wanna One (워너원),40,활활 (Burn It Up),https://www.youtube.com/embed/XwGqz8BhHho
40,더 네임,41,그녀를 찾아주세요,https://www.youtube.com/embed/Hm-yT5Mj64g
41,헤이즈 (Heize),42,"And July (Feat. DEAN, DJ Friz)",https://www.youtube.com/embed/rCeM57e2BfU
42,Charlie Puth,43,Attention,https://www.youtube.com/embed/nfs8NYg7yQM
43,Maroon 5,44,Don`t Wanna Know (Feat. Kendrick Lamar),https://www.youtube.com/embed/OxPv8mSTv9U
44,여자친구 (GFRIEND),45,귀를 기울이면 (LOVE WHISPER),https://www.youtube.com/embed/lnXXfYA91Y8
45,김연자,46,아모르 파티,https://www.youtube.com/embed/MPX-ojIEbDI
46,DEAN,47,love (Feat. Syd),https://www.youtube.com/embed/JEIcjRj7S9g
47,헤이즈 (Heize),48,널 너무 모르고,https://www.youtube.com/embed/vvkWaI91mLM
48,김범수,49,슬픔활용법,https://www.youtube.com/embed/hMKcO_AWj10
49,방탄소년단,50,Not Today,https://www.youtube.com/embed/9DwzBICPhdM
50,백아연,51,달콤한 빈말 (Feat. 바버렛츠),https://www.youtube.com/embed/NXjhBwm1I3A
51,PRODUCE 101,52,이 자리에 (Always),https://www.youtube.com/embed/7VkRxIOK3nw
52,넉살,53,N분의1 (Feat. 다이나믹듀오),https://www.youtube.com/embed/D7aXRBRMQXg
53,황치열,54,매일 듣는 노래 (A Daily Song),https://www.youtube.com/embed/gSQmYh-kpHY
54,BLACKPINK,55,휘파람,https://www.youtube.com/embed/dISNgvVpWlo
55,Wanna One (워너원),56,이 자리에 (Acoustic Ver.),https://www.youtube.com/embed/jM7h2hTOX1g
56,버즈,57,사랑하지 않은 것처럼,https://www.youtube.com/embed/gszuEGmVWlQ
57,위키미키 (Weki Meki),58,I don`t like your Girlfriend,https://www.youtube.com/embed/bAsyhiaHzJQ
58,WINNER,59,LOVE ME LOVE ME,https://www.youtube.com/embed/_5B6ymkU5ag
59,태연 (TAEYEON),60,11:11,https://www.youtube.com/embed/ulr0muQKjk0
60,마크툽 (MAKTUB),61,Marry Me,https://www.youtube.com/embed/--knPjoSlNE
61,지코 (ZICO),62,"BERMUDA TRIANGLE (Feat. Crush, DEAN)",https://www.youtube.com/embed/ZHoLaLlL5lA
62,킬라그램 (Killagramz),63,"어디 (Feat. DEAN, ZICO)",https://www.youtube.com/embed/MQJMCgijbbI
63,이하이,64,한숨,https://www.youtube.com/embed/5iSlfF8TQ9k
64,마마무,65,나로 말할 것 같으면 (Yes I am),https://www.youtube.com/embed/Ue9NG1hAr78
65,이적,66,걱정말아요 그대,https://www.youtube.com/embed/h3ETX6Pv2Yw
66,Ariana Grande,67,Problem (Feat. Iggy Azalea),https://www.youtube.com/embed/iS1g8G_njx8
67,볼빨간사춘기,68,남이 될 수 있을까,https://www.youtube.com/embed/Z1pGxkXyDvc
68,DEAN,69,넘어와 (Feat. 백예린),https://www.youtube.com/embed/YY19BIIHCYQ
69,창모 (CHANGMO),70,아이야 (Feat. Beenzino),https://www.youtube.com/embed/x_UDoPqo930
70,윤종신,71,내일 할 일,https://www.youtube.com/embed/pElvjUAbHP8
71,Hash Swan,72,MA$HIMARO,https://www.youtube.com/embed/74cKzlYmCR4
72,NCT DREAM,73,My Page,https://www.youtube.com/embed/solVijcNQNE
73,Mike Perry,74,The Ocean (Feat. Shy Martin) (Radio Edit.),https://www.youtube.com/embed/5JxgDJvqGmM
74,씨스타,75,SHAKE IT,https://www.youtube.com/embed/x9-TIy7WPQI
75,Charlie Puth,76,We Don`t Talk Anymore (Feat. Selena Gomez),https://www.youtube.com/embed/3AtDnEC4zak
76,Charlie Puth,77,One Call Away,https://www.youtube.com/embed/BxuY9FET9Y4
77,여자친구 (GFRIEND),78,너 그리고 나 (NAVILLERA),https://www.youtube.com/embed/Se8bbsUFjC8
78,Ed Sheeran,79,Thinking Out Loud,https://www.youtube.com/embed/lp-EO5I60KA
79,블락비 (Block B),80,YESTERDAY,https://www.youtube.com/embed/3q22SInyiX8
80,악동뮤지션,81,MY DARLING,https://www.youtube.com/embed/-RyevWpDqZ0
81,박원,82,노력,https://www.youtube.com/embed/1hZa60t8wSE
82,버즈,83,남자를 몰라,https://www.youtube.com/embed/s8knyig3swA
83,씨잼 (C Jamm),84,puzzle,https://www.youtube.com/embed/6STQiElLzl8
84,싸이 (PSY),85,어땠을까 (Feat. 박정현),https://www.youtube.com/embed/C67kIdppbRg
85,프라이머리,86,자니 (Feat. Dynamic Duo),https://www.youtube.com/embed/RktRJRXEtBg
86,아이유,87,잼잼,https://www.youtube.com/embed/2NH7avOIZvc
87,Pharrell Williams,88,Happy (Gru`s Theme From Despicable Me 2),https://www.youtube.com/embed/ZbZSe6N_BXs
88,윤딴딴,89,겨울을 걷는다,https://www.youtube.com/embed/cOCycILmJAM
89,로꼬,90,Summer Go Loco (Feat. GRAY),https://www.youtube.com/embed/0crchV5LZBc
90,박재범,91,몸매 (MOMMAE) (Feat. Ugly Duck),https://www.youtube.com/embed/gx_mg-1WhWw
91,Ariana Grande,92,Side To Side (Feat. Nicki Minaj),https://www.youtube.com/embed/SXiSVQZLje8
92,문문 (MoonMoon),93,비행운,https://www.youtube.com/embed/FvOBwRWaGZg
93,Red Velvet (레드벨벳),94,You Better Know,https://www.youtube.com/embed/qazj-6-5QJM
94,하동균,95,기다릴게,https://www.youtube.com/embed/I1dSAATutT0
95,효린,96,FRUITY (Prod. GroovyRoom),https://www.youtube.com/embed/wxkl92HODrM
96,소녀시대,97,Holiday,https://www.youtube.com/embed/YwN-CN9EjTg
97,볼빨간사춘기,98,처음부터 너와 나,https://www.youtube.com/embed/jYcGHGiFkMo
98,엠씨더맥스,99,잠시만 안녕 (Original),https://www.youtube.com/embed/3Xh6Fk6Q1jI
99,볼빨간사춘기,100,싸운날,https://www.youtube.com/embed/1ri7I32Auhg
